產品品號,產品類別,產品名稱,庫存量,price2,price3,生效日,失效日
8101726,風水擺鎮,北斗七星連錢招財燈組,10,588,0,2014/10/13 上午 12:00:00,
8101728,香／爐／金紙,月老姻緣金組合,5,588,0,2014/10/13 上午 12:00:00,
8101831,符袋佛卡,四面佛黃金招財組 ,25,588,399,1900/1/1 上午 12:00:00,
8101730,吊飾／佛牌,四面佛桃花晶鑚象吊飾,10,588,588,2014/10/13 上午 12:00:00,
8101868,飾品,花開迎富手鍊,1,888,0,2014/10/13 上午 12:00:00,
8101869,飾品,璀璨桃花靈狐項鍊,3,1380,0,2014/10/13 上午 12:00:00,
8101943,掛畫／生活用品,甜心花漾晶鑚錶(桃紅),13,1980,1380,2014/10/13 上午 12:00:00,
8102002,風水擺鎮,趨吉避凶太極八卦陣,3,1380,0,2014/10/13 上午 12:00:00,
8101951,掛畫／生活用品,富女王粉鑽計算機,1,880,0,2014/10/13 上午 12:00:00,
8101950,掛畫／生活用品,穩賺致富計算機,0,880,0,2014/10/13 上午 12:00:00,
8101967,風水擺鎮,橫財爆發擺陣,0,1280,0,2014/10/13 上午 12:00:00,
8101959,香／爐／金紙,四面佛彩色香,46,888,0,2014/10/13 上午 12:00:00,
8101989,吊飾／佛牌,百財聚寶琉璃吊飾,20,1280,,2014/10/13 上午 12:00:00,
8101991,吊飾／佛牌,財帛滿袋琉璃吊飾,19,1280,,2014/10/13 上午 12:00:00,
8101975,香／爐／金紙,鎮宅吉祥龍龜煙供爐,10,3980,3980,2014/10/13 上午 12:00:00,
8102031,掛畫／生活用品,黃友輔．水聚天心招財風水畫(大),8,3960,0,2014/10/13 上午 12:00:00,
8102395,掛畫／生活用品,(12生肖開運推薦)黃友輔．富貴花開招財風水畫(大),29,3960,0,2014/10/13 上午 12:00:00,
8101957,吊飾／佛牌,威震天地八卦鏡掛飾,2,588,0,2014/10/13 上午 12:00:00,
8102000,飾品,吉象如意戒,61,1280,0,1900/1/1 上午 12:00:00,
8101981,飾品,金蟾萬貫戒,19,999,0,2014/10/13 上午 12:00:00,
8101966,風水擺鎮,福至心靈轉經輪,5,1680,0,2014/10/13 上午 12:00:00,
8101969,掛畫／生活用品,吉祥富貴孔雀除穢包,3,688,0,2014/10/13 上午 12:00:00,
8101994,風水擺鎮,永結同心愛情樹(小),5,588,0,2014/10/13 上午 12:00:00,
8102265,風水擺鎮,【特惠】陳冠宇大吉大利貔貅文公尺鎮,195,299,0,1900/1/1 上午 12:00:00,
8101960,風水擺鎮,大發富貴金蟾擺陣,4,1680,0,2014/10/13 上午 12:00:00,
8102180,飾品,金蟾萬貫手鍊,26,1680,0,2014/10/13 上午 12:00:00,
8102181,飾品,金蟾萬貫項鍊,11,999,0,2014/10/13 上午 12:00:00,
8102234,掛畫／生活用品,幸福光芒開運鹽燈,5,1680,0,2015/4/8 上午 12:00:00,
8101985,飾品,金彩絢麗玫瑰項鍊,8,999,0,2014/10/13 上午 12:00:00,
8102005,飾品,鍾愛玫瑰水晶手鍊,5,888,0,2014/10/13 上午 12:00:00,
8102239,掛畫／生活用品,沈孟勳．愛戀陶花組(黑),17,1280,0,2014/10/13 上午 12:00:00,
8102240,掛畫／生活用品,沈孟勳．愛戀陶花組(白),11,1280,0,2014/10/13 上午 12:00:00,
8102018,吊飾／佛牌,金榜題名桃木文昌筆吊飾,10,888,688,2014/10/13 上午 12:00:00,
8102036,吊飾／佛牌,四面佛黃金佛牌,54,1680,1180,1900/1/1 上午 12:00:00,
8102298,風水擺鎮,金龍招財炭雕盤(送四方引財除障環香),4,2980,2680,2014/10/13 上午 12:00:00,
8101892,吊飾／佛牌,鴻運富貴聚寶樹掛飾,2,888,688,2014/10/13 上午 12:00:00,
8101965,吊飾／佛牌,八吉祥圓滿掛飾,93,588,399,2014/10/13 上午 12:00:00,
8102322,符袋佛卡,周映君．寶寶安眠符(親畫),3,2800,1280,1900/1/1 上午 12:00:00,
8102323,符袋佛卡,周映君．寶寶收驚符(親畫),2,2800,1280,1900/1/1 上午 12:00:00,
8102324,符袋佛卡,周映君．寶寶平安符(親畫),4,2800,1280,1900/1/1 上午 12:00:00,
8101666,飾品,情人愛戀花果項鍊,27,1080,0,2014/10/13 上午 12:00:00,
8101944,飾品,繽紛戀曲鳳凰手鍊,3,888,0,2014/10/13 上午 12:00:00,
8102282,吊飾／佛牌,招財寶蟾印章鑰匙圈(不開刻),21,588,0,2014/10/13 上午 12:00:00,
8102067,符袋佛卡,(護佑文昌)開智慧魁星踢斗金佛卡,36,299,299,2014/10/13 上午 12:00:00,
8102326,香／爐／金紙,招財百寶香粉組(含聚財寶蓋),14,990,0,2014/10/13 上午 12:00:00,
8101987,飾品,開花結果垂墜耳環,28,888,,2014/10/13 上午 12:00:00,
8102368 ,掛畫／生活用品,十二財星貴人掛畫,5,999,0,2014/10/13 上午 12:00:00,
8102459,印章／書／文具,李玉珮．999黃金入庫招財印章-超值組(送開刻),122,4580,0,2014/10/13 上午 12:00:00,
8102464,風水擺鎮,富貴麒麟送子好孕陣,3,1280,0,1900/1/1 上午 12:00:00,
8101984,吊飾／佛牌,福蘆吉祥吊飾,16,388,0,2014/10/13 上午 12:00:00,
8101587,吊飾／佛牌,好學不倦智慧文昌筆,28,888,0,2014/10/13 上午 12:00:00,
8101977,飾品,怦然心動彩鑚手環,87,888,0,2014/10/13 上午 12:00:00,
8102447,飾品,手到錢來晶賺錶,6,2680,0,2014/10/13 上午 12:00:00,
8102354,吊飾／佛牌,萬財歸我豹賺鑰匙圈,45,999,0,2014/10/13 上午 12:00:00,
8102529,飾品,旺財護身藏銀雙喜手鍊組(女款),2,1280,0,2014/10/13 上午 12:00:00,
8102926,風水擺鎮,七世福報種子樹超值組(贈隨身香),5,2680,0,2014/10/13 上午 12:00:00,
8102526,風水擺鎮,風獅瓦將軍化煞陣,44,999,,2014/10/13 上午 12:00:00,
8102556,風水擺鎮,龍鳳和鳴黃金擺陣,88,2680,,2014/10/13 上午 12:00:00,
8102569,飾品,旺財護身藏銀雙喜手鍊組(男款),30,1280,0,2014/10/13 上午 12:00:00,
8102346,吊飾／佛牌,藏寶金葫蘆吊飾,10,588,0,2014/10/13 上午 12:00:00,
8102363,飾品,防小人鎖財尾戒,0,688,0,2014/10/13 上午 12:00:00,
8102508,掛畫／生活用品,鼠來財寶本命百財畫,94,999,0,2014/10/13 上午 12:00:00,
8102509,掛畫,牛轉乾坤本命百財畫,91,999,0,2014/10/13 上午 12:00:00,
8102509,風水擺鎮,牛轉乾坤本命百財畫,91,999,0,2014/10/13 上午 12:00:00,
8102510,風水擺鎮,虎虎生風本命百財畫,46,999,0,2014/10/13 上午 12:00:00,
8102510,掛畫,虎虎生風本命百財畫,46,999,0,2014/10/13 上午 12:00:00,
8102519,掛畫／生活用品,豬事大吉本命百財畫,96,999,0,2014/10/13 上午 12:00:00,
8102511,掛畫,兔氣揚眉本命百財畫,96,999,0,2014/10/13 上午 12:00:00,
8102511,風水擺鎮,兔氣揚眉本命百財畫,96,999,0,2014/10/13 上午 12:00:00,
8102518,掛畫／生活用品,狗來富貴本命百財畫,92,999,0,2014/10/13 上午 12:00:00,
8102517,掛畫／生活用品,雞祥如意本命百財畫,93,999,0,2014/10/13 上午 12:00:00,
8102513,掛畫／生活用品,蛇來運轉本命百財畫,98,999,0,2014/10/13 上午 12:00:00,
8102514,掛畫／生活用品,馬到成功本命百財畫,95,999,0,2014/10/13 上午 12:00:00,
8102515,掛畫／生活用品,羊洋得意本命百財畫,7,999,0,2014/10/13 上午 12:00:00,
8102348,飾品,蝶戀雙飛戒,6,999,0,2014/10/13 上午 12:00:00,
8102431,風水擺鎮,賺爆一桶金掛畫,9,999,0,2014/10/13 上午 12:00:00,
8102341,吊飾／佛牌,鳳凰粉晶桃花吊飾,0,399,0,2014/10/13 上午 12:00:00,
8102342,吊飾／佛牌,龍王黑瑪瑙吊飾,98,399,0,2014/10/13 上午 12:00:00,
8102523,吊飾／佛牌,蝴蝶人緣鳥桃花牌,89,2580,0,2014/10/13 上午 12:00:00,
8102616,印章／書／文具,李玉珮老師．八方聚財五行富貴開運瑑(賺)印,58,4980,0,2014/10/13 上午 12:00:00,
8102522,吊飾／佛牌,財富之王象神佛牌,93,2580,0,2014/10/13 上午 12:00:00,
8103043,風水擺鎮,十相自在黃金擺陣超值組(送八吉祥掛飾),3,1980,0,2014/10/13 上午 12:00:00,
8102640,飾品,薇薇安老師-晶彩鑽翻天開運套組,30,1980,0,2015/4/20 上午 12:00:00,2016/12/31 下午 11:00:00
8102717,飾品,(八字犯太歲推薦)帶財三合貴人項鍊(鼠龍猴)送求財符,8,1680,0,2014/10/13 上午 12:00:00,
8102719,飾品,(八字犯太歲推薦)帶財三合貴人項鍊(蛇雞牛)送求財符,0,1680,0,2014/10/13 上午 12:00:00,
8102602,飾品,愛情雙魚粉晶手鍊,2,688,0,2014/10/13 上午 12:00:00,
8102768,印章／書／文具,湯鎮瑋-居家風水88條禁忌,69,380,0,2014/10/13 上午 12:00:00,
8102793,印章／書／文具,湯鎮瑋-居家風水88條禁忌2本(送文公尺*2),89,760,0,2014/10/13 上午 12:00:00,
8102743,風水擺鎮,湯鎮瑋‧五行靈動風水鹽,3,1680,0,2014/10/13 上午 12:00:00,
8102831,掛畫／生活用品,時來運轉生肖開運鐘,-1,1580,0,2014/10/13 上午 12:00:00,
8102601,飾品,富貴金玉吉祥鎖念珠,1,1280,0,2014/10/13 上午 12:00:00,
8102858,飾品,銀鑲翠玉貔貅項鍊,58,1680,0,2014/10/13 上午 12:00:00,
8102854,飾品,銀鑲翠玉貔貅戒指,65,1680,0,2014/10/13 上午 12:00:00,
8102859,飾品,銀鑲翠玉貔貅組,61,3280,0,2014/10/13 上午 12:00:00,
8102855,飾品,四面佛有求必應手鍊,2,1280,640,1900/1/1 上午 12:00:00,
8102997,掛畫／生活用品,薇薇安百財馬上發紅財褲4件組-女M	,3,1380,0,2014/10/13 上午 12:00:00,
8103299,掛畫／生活用品,特惠-黃友輔馬上有錢除穢包,58,199,0,2014/10/13 上午 12:00:00,
8103300,掛畫／生活用品,特惠-黃友輔馬上有錢除穢包2入,95,388,299,2014/10/13 上午 12:00:00,
8103302,掛畫／生活用品,薇薇安錢進好運襪1入(男),71,168,0,1900/1/1 上午 12:00:00,
8103021,掛畫／生活用品,薇薇安錢進好運襪4入(男),92,680,0,2014/10/13 上午 12:00:00,
8103059,飾品,沈孟勳．金曜石招財手鍊,2,1980,790,2014/10/13 上午 12:00:00,
8103010,掛畫／生活用品,龍鳳和鳴開運風鈴,0,1280,0,2014/10/13 上午 12:00:00,
8103020,風水擺鎮,飛天八貔貅連環招財陣,94,6600,0,2014/10/13 上午 12:00:00,
8103060,飾品,沈孟勳‧除障至尊靈狐套組,496,2970,0,1900/1/1 上午 12:00:00,
8103272,符袋佛卡,文殊菩薩黃金心咒卡(大),94,399,0,1900/1/1 上午 12:00:00,
8103277,符袋佛卡,文殊菩薩黃金心咒卡(小),52,199,0,1900/1/1 上午 12:00:00,
8103282,符袋佛卡,文殊菩薩黃金心咒卡超值組,94,588,0,1900/1/1 上午 12:00:00,
8103274,符袋佛卡,四臂觀音黃金心咒卡(大),97,399,0,1900/1/1 上午 12:00:00,
8103279,符袋佛卡,四臂觀音黃金心咒卡(小),85,199,0,1900/1/1 上午 12:00:00,
8103284,符袋佛卡,四臂觀音黃金心咒卡超值組,99,588,0,1900/1/1 上午 12:00:00,
8103268,符袋佛卡,黃財神黃金心咒卡(大),90,399,0,1900/1/1 上午 12:00:00,
8103275,符袋佛卡,黃財神黃金心咒卡(小),17,199,0,1900/1/1 上午 12:00:00,
8103280,符袋佛卡,黃財神黃金心咒卡超值組,29,588,0,1900/1/1 上午 12:00:00,
8103273,符袋佛卡,綠度母黃金心咒卡(大),28,399,0,1900/1/1 上午 12:00:00,
8103278,符袋佛卡,綠度母黃金心咒卡(小),30,199,0,1900/1/1 上午 12:00:00,
8103283,符袋佛卡,綠度母黃金心咒卡超值組,28,588,0,1900/1/1 上午 12:00:00,
8103270,符袋佛卡,藥師佛黃金心咒卡(大),89,399,0,1900/1/1 上午 12:00:00,
8103276,符袋佛卡,藥師佛黃金心咒卡(小),28,199,0,1900/1/1 上午 12:00:00,
8103281,符袋佛卡,藥師佛黃金心咒卡超值組,81,588,0,1900/1/1 上午 12:00:00,
8103054,飾品,沈孟勳．守印靈狐尾戒,30,999,0,2014/10/13 上午 12:00:00,
8103055,飾品,沈孟勳．除障至尊靈狐項鍊,94,1980,0,2014/10/13 上午 12:00:00,
8103058,飾品,沈孟勳．和合冰晶靈狐項鍊,91,1980,0,2014/10/13 上午 12:00:00,
8103247,飾品,(四面佛加持)泰國回頭鹿桃花手鍊,6,999,499,1900/1/1 上午 12:00:00,
8102435,掛畫／生活用品,求財必應滿願風水畫,3,1280,0,2015/4/8 上午 12:00:00,
8102512,掛畫／生活用品,龍現瑞氣本命百財畫,4,999,0,2014/10/13 上午 12:00:00,
8101588,飾品,福蝶翩翩晶彩戒,20,999,0,2014/10/13 上午 12:00:00,
8101520,吊飾／佛牌,擊退小人黑曜石七星掛飾,5,588,0,2014/10/13 上午 12:00:00,
8103329,風水擺鎮,(5折優惠)十二生肖財霸天下黃金流水盆,2,6990,3495,2014/10/13 上午 12:00:00,
8103324,吊飾／佛牌,雙鹿法輪圓滿吊飾,9,588,399,2014/10/13 上午 12:00:00,
8103134,飾品,八吉祥總集晶鑽項鍊,100,1280,0,2014/10/13 上午 12:00:00,
8102448,風水擺鎮,招財雙贏金象擺陣,10,1980,0,1900/1/1 上午 12:00:00,
8103244,風水擺鎮,馬上封侯催官運擺陣套組,197,5980,,2014/10/13 上午 12:00:00,
8103326,飾品,心電心粉晶桃花項鍊,6,888,0,2014/10/13 上午 12:00:00,
8102596,掛畫／生活用品,吳美玲- 一定賺元寶燈,4,1980,0,2014/10/13 上午 12:00:00,
8102563,風水擺鎮,(12生肖開運推薦)花開結果五行姻緣陣,10,1980,0,2014/10/13 上午 12:00:00,
8103325,風水擺鎮,(旺財風水擺陣)滾滾財源金錢羊,8,1980,0,2014/10/13 上午 12:00:00,
8103340,香／爐／金紙,天恩福澤大圓滿塔香-超值組,-2,1580,999,2014/10/13 上午 12:00:00,
8101117,風水擺鎮,桃花萌發粉晶樹(大),19,1980,0,2014/10/13 上午 12:00:00,
8102742,風水擺鎮,天王象神金殿擺陣,96,1680,0,2014/10/13 上午 12:00:00,
8102600,風水擺鎮,一品麒麟財官大旺擺陣,0,4980,0,2014/10/13 上午 12:00:00,
8103334,香／爐／金紙,天恩福澤招財塔香(單入),18,588,0,2014/10/13 上午 12:00:00,
8103337,香／爐／金紙,天恩福澤招財塔香-超值組(3入),25,1580,1390,2014/10/13 上午 12:00:00,
8103335,香／爐／金紙,天恩福澤桃花塔香(單入),91,588,0,2014/10/13 上午 12:00:00,
8103338,香／爐／金紙,天恩福澤桃花塔香-超值組(3入),9,1580,0,2014/10/13 上午 12:00:00,
8103336,香／爐／金紙,天恩福澤智慧平安塔香(單入),95,588,0,2014/10/13 上午 12:00:00,
8103339,香／爐／金紙,天恩福澤智慧平安塔香-超值組(3入),10,1580,0,2014/10/13 上午 12:00:00,
8102830,風水擺鎮,乾坤運轉山海鎮,9,1680,0,2014/10/13 上午 12:00:00,
8103424,符袋佛卡,周映君．永保安康轉運靈符袋,96,1280,0,2014/10/13 上午 12:00:00,
8103420,符袋佛卡,周映君．天賜良緣轉運靈符袋,80,1280,0,2014/10/13 上午 12:00:00,
8103422,符袋佛卡,周映君．飛黃騰達轉運靈符袋,91,1280,0,2014/10/13 上午 12:00:00,
8103423,符袋佛卡,周映君．功成名就轉運靈符袋,96,1280,0,2014/10/13 上午 12:00:00,
8103369,飾品,(天然水晶系列)姻緣幸福粉晶手鍊,9,1680,0,2014/10/13 上午 12:00:00,
8103370,飾品,(天然水晶系列)藏銀青金石健康手鍊,1,1680,688,2014/10/13 上午 12:00:00,
8103368,飾品,(天然水晶系列)紫耀四方貴人水晶手鍊,3,1680,0,2014/10/13 上午 12:00:00,
8103376,掛畫／生活用品,財富靠山抱枕(1入),7,999,0,2014/10/13 上午 12:00:00,
8103492,飾品,李玉珮‧富貴五行金賺(鑽)轉運組,27,1980,0,2014/10/13 上午 12:00:00,
8103447,印章／書／文具,錢連錢貔貅黑曜岩印章-超值組,5,4980,0,2014/10/13 上午 12:00:00,
8103446,印章／書／文具,(改運造命好印)生財萬千碧玉印章-超值組,30,5980,0,2014/10/13 上午 12:00:00,
8103607,法會 / 點燈,林霖‧濟公法扇除障補運(女),10,1980,0,2014/10/13 上午 12:00:00,
8103608,法會 / 點燈,林霖‧濟公法扇除障補運(男),10,1980,0,2014/10/13 上午 12:00:00,
8103569,掛畫／生活用品,沈孟勳‧七彩元辰補運鹽燈,2,3960,0,2014/10/13 上午 12:00:00,
8103439,風水擺鎮,對我生財八卦化煞陣-超值組,88,1980,0,2014/10/13 上午 12:00:00,
8103542,風水擺鎮,黃金錢脈風水陣,1,1980,0,2014/10/13 上午 12:00:00,
8103548,風水擺鎮,七星並耀防小人擺陣,5,1680,0,2014/10/13 上午 12:00:00,
8103547,風水擺鎮,五運齊發水晶樹,999,4980,,2014/10/13 上午 12:00:00,
8103645,掛畫／生活用品,財富倍增香氛金錢樹-超值組,10,1680,0,2014/10/13 上午 12:00:00,
8103618,飾品,黃金閃爍香氛寶瓶項鍊,46,1980,0,2014/10/13 上午 12:00:00,
8103677,飾品,吳美玲‧紅瑪瑙葫蘆化煞飾品,1161,990,0,2014/10/13 上午 12:00:00,
8103650,掛畫／生活用品,五行財庫金鑽長夾‧送金銀滿庫錢母,8,888,0,2014/10/13 上午 12:00:00,
8103714,香／爐／金紙,冥界財富拜祖先套裝金紙,3,1980,0,2014/10/13 上午 12:00:00,
8103716,香／爐／金紙,五路財星元寶招財套裝金紙,2,1980,0,2014/10/13 上午 12:00:00,
8103718,香／爐／金紙,中元普渡好兄弟套裝金紙,96,1680,999,2014/10/13 上午 12:00:00,
8103717,香／爐／金紙,前世今生解冤除障套裝金紙,29,1680,0,1900/1/1 上午 12:00:00,
8103646,風水擺鎮,五福送財黑曜石擺陣-超值組,3,2580,0,2014/10/13 上午 12:00:00,
8103699,香／爐／金紙,月老星君姻緣如意套裝金紙,999,1680,,2014/10/13 上午 12:00:00,
8103757,風水擺鎮,九宮八卦鎮宅掛陣,88,3960,0,2014/10/13 上午 12:00:00,
8103756,風水擺鎮,金龍搶珠鴻運化煞擺件,3,1980,0,2014/10/13 上午 12:00:00,
8103786,風水擺鎮,湯鎮瑋．仿木雙財貔貅超值組,10,2980,0,2014/10/13 上午 12:00:00,
8103766,掛畫／生活用品,富貴花開五行風水鐘,3,1580,0,2014/10/13 上午 12:00:00,
8103799,風水擺鎮,事業璧玉球雙效擺陣,97,1980,0,2014/10/13 上午 12:00:00,
8103798,風水擺鎮,富貴金砂球雙效擺陣,10,1980,0,2014/10/13 上午 12:00:00,
8200220,法會 / 點燈,有求必應四面佛‧招財許願點燈,924,999,0,2014/10/13 上午 12:00:00,
8200221,法會 / 點燈,有求必應四面佛‧桃花許願點燈,966,999,0,2014/10/13 上午 12:00:00,
8200222,法會 / 點燈,有求必應四面佛‧事業許願點燈,930,999,0,2014/10/13 上午 12:00:00,
8200223,法會 / 點燈,有求必應四面佛‧健康許願點燈,989,999,0,2014/10/13 上午 12:00:00,
8103784,飾品,泰靈驗四面佛招財符管套組(女+男),99,4980,0,1900/1/1 上午 12:00:00,
8103687,掛畫／生活用品,湯鎮瑋‧財庫豐隆五行風水畫,25,4980,4980,2014/10/13 上午 12:00:00,
8103868,風水擺鎮,太極八卦避邪鎮宅銅鏡,2,1980,1980,2014/10/13 上午 12:00:00,
8103781,飾品,泰靈驗四面佛招財符管手鍊(女),985,1380,0,1900/1/1 上午 12:00:00,
8103782,飾品,泰靈驗四面佛招財符管手鍊(男),993,1380,0,1900/1/1 上午 12:00:00,
8103783,飾品,泰靈驗四面佛招財符管虎眼項鍊,991,1580,0,1900/1/1 上午 12:00:00,
8103895,風水擺鎮,金鏟助孕帶財來擺陣,3,2980,0,1900/1/1 上午 12:00:00,
